dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,instant
2011-01-28,1,16,True,5,1,0.22,0.2727,0.8,0,10,70,80,1
2011-01-28,1,17,True,5,1,0.24,0.2424,0.75,0.1343,2,147,149,2
2011-01-28,1,18,True,5,1,0.24,0.2273,0.75,0.194,2,107,109,3
2011-01-28,1,19,True,5,2,0.24,0.2424,0.75,0.1343,5,84,89,4
2011-01-28,1,20,True,5,2,0.24,0.2273,0.7,0.194,1,61,62,5
2011-01-28,1,21,True,5,2,0.22,0.2273,0.75,0.1343,1,57,58,6
2011-01-28,1,22,True,5,1,0.24,0.2121,0.65,0.3582,0,26,26,7
2011-01-28,1,23,True,5,1,0.24,0.2273,0.6,0.2239,1,22,23,8
2011-01-29,1,0,True,6,1,0.22,0.197,0.64,0.3582,2,26,28,9
2011-01-29,1,1,True,6,1,0.22,0.2273,0.64,0.194,0,20,20,10
2011-01-29,1,2,True,6,1,0.22,0.2273,0.64,0.1642,0,15,15,11
2011-01-29,1,3,True,6,1,0.2,0.2121,0.64,0.1343,3,5,8,12
2011-01-29,1,4,True,6,1,0.16,0.1818,0.69,0.1045,1,2,3,13
2011-01-29,1,6,True,6,1,0.16,0.1818,0.64,0.1343,0,2,2,14
2011-01-29,1,7,True,6,1,0.16,0.1818,0.59,0.1045,1,4,5,15
2011-01-29,1,8,True,6,1,0.18,0.197,0.55,0.1642,3,31,34,16
2011-01-29,1,9,True,6,1,0.18,0.2121,0.59,0.0896,0,34,34,17
2011-01-29,1,10,True,6,2,0.18,0.2121,0.64,0.1045,4,51,55,18
2011-01-29,1,11,True,6,2,0.18,0.197,0.64,0.1343,4,60,64,19
2011-01-29,1,12,True,6,2,0.2,0.197,0.59,0.194,12,66,78,20
2011-01-29,1,13,True,6,2,0.22,0.2273,0.55,0.1642,9,56,65,21
2011-01-29,1,14,True,6,2,0.22,0.2273,0.6,0.1343,10,89,99,22
2011-01-29,1,15,True,6,1,0.22,0.2121,0.69,0.2537,22,98,120,23
2011-01-29,1,16,True,6,1,0.24,0.2424,0.6,0.1642,19,88,107,24
2011-01-29,1,17,True,6,1,0.24,0.2879,0.6,0,9,82,91,25
2011-01-29,1,18,True,6,1,0.22,0.2273,0.69,0.1343,9,59,68,26
2011-01-29,1,19,True,6,2,0.22,0.2121,0.69,0.2537,6,52,58,27
2011-01-29,1,20,True,6,1,0.18,0.2121,0.74,0.0896,1,42,43,28
2011-01-29,1,21,True,6,1,0.18,0.2121,0.74,0.0896,1,35,36,29
2011-01-29,1,22,True,6,1,0.16,0.197,0.8,0.0896,4,28,32,30
2011-01-29,1,23,True,6,1,0.16,0.197,0.8,0.0896,3,30,33,31
2011-01-30,1,0,True,0,1,0.16,0.1818,0.8,0.1045,0,33,33,32
2011-01-30,1,1,True,0,1,0.14,0.2121,0.8,0,7,22,29,33
2011-01-30,1,2,True,0,1,0.16,0.2273,0.8,0,1,10,11,34
2011-01-30,1,3,True,0,1,0.14,0.2121,0.93,0,1,7,8,35
2011-01-30,1,4,True,0,1,0.14,0.2121,0.93,0,0,1,1,36
2011-01-30,1,5,True,0,1,0.14,0.2121,0.86,0,0,3,3,37
2011-01-30,1,7,True,0,1,0.14,0.2121,0.86,0,0,3,3,38
2011-01-30,1,8,True,0,2,0.14,0.2121,0.86,0,1,11,12,39
2011-01-30,1,9,True,0,2,0.16,0.2273,0.8,0,4,34,38,40
2011-01-30,1,10,True,0,2,0.18,0.2424,0.8,0,7,57,64,41
2011-01-30,1,11,True,0,1,0.22,0.2727,0.75,0,9,50,59,42
2011-01-30,1,12,True,0,1,0.3,0.3182,0.52,0.1045,10,87,97,43
2011-01-30,1,13,True,0,1,0.28,0.2879,0.61,0.1045,13,71,84,44
2011-01-30,1,14,True,0,1,0.28,0.303,0.61,0.0896,18,104,122,45
2011-01-30,1,15,True,0,1,0.3,0.3333,0.56,0,14,95,109,46
2011-01-30,1,16,True,0,1,0.3,0.3333,0.56,0,19,104,123,47
2011-01-30,1,17,True,0,1,0.3,0.2879,0.56,0.194,6,71,77,48
2011-01-30,1,18,True,0,1,0.26,0.2576,0.65,0.1642,8,57,65,49
2011-01-30,1,19,True,0,1,0.26,0.2576,0.65,0.194,9,46,55,50
2011-01-30,1,20,True,0,2,0.26,0.2727,0.65,0.1045,3,30,33,51
2011-01-30,1,21,True,0,2,0.24,0.2424,0.7,0.1642,3,25,28,52
2011-01-30,1,22,True,0,2,0.24,0.2273,0.7,0.194,2,19,21,53
2011-01-30,1,23,True,0,2,0.24,0.2121,0.65,0.2836,5,16,21,54
2011-01-31,1,0,True,1,2,0.24,0.2273,0.65,0.2239,1,6,7,55
2011-01-31,1,1,True,1,1,0.22,0.2121,0.64,0.2537,2,5,7,56
2011-01-31,1,2,True,1,1,0.22,0.2273,0.64,0.194,0,1,1,57
2011-01-31,1,3,True,1,1,0.22,0.2273,0.64,0.194,0,2,2,58
2011-01-31,1,4,True,1,1,0.2,0.197,0.59,0.2239,0,2,2,59
2011-01-31,1,5,True,1,1,0.18,0.1667,0.64,0.2836,0,8,8,60
2011-01-31,1,6,True,1,1,0.16,0.1364,0.69,0.3284,0,37,37,61
2011-01-31,1,7,True,1,2,0.16,0.1364,0.64,0.2836,1,71,72,62
2011-01-31,1,8,True,1,2,0.16,0.1364,0.59,0.2836,3,182,185,63
2011-01-31,1,9,True,1,2,0.16,0.1364,0.59,0.2985,0,112,112,64
2011-01-31,1,10,True,1,2,0.16,0.1515,0.59,0.194,1,68,69,65
2011-01-31,1,11,True,1,2,0.16,0.1515,0.59,0.194,2,46,48,66
2011-01-31,1,12,True,1,2,0.18,0.2121,0.55,0.1045,6,62,68,67
2011-01-31,1,13,True,1,2,0.16,0.2273,0.59,0,2,52,54,68
2011-01-31,1,14,True,1,2,0.18,0.197,0.55,0.1343,1,85,86,69
2011-01-31,1,15,True,1,2,0.16,0.1818,0.59,0.1343,3,41,44,70
2011-01-31,1,16,True,1,2,0.16,0.1818,0.56,0.194,3,83,86,71
2011-01-31,1,17,True,1,2,0.16,0.1515,0.59,0.194,6,155,161,72
2011-01-31,1,18,True,1,2,0.16,0.1515,0.55,0.2239,3,153,156,73
2011-01-31,1,19,True,1,1,0.3,0.3182,0.61,0.1045,3,108,111,74
2011-01-31,1,20,True,1,3,0.16,0.1667,0.59,0.1642,0,78,78,75
2011-01-31,1,21,True,1,3,0.16,0.197,0.59,0.0896,3,53,56,76
2011-01-31,1,22,True,1,2,0.16,0.1818,0.59,0.1045,0,34,34,77
2011-01-31,1,23,True,1,2,0.16,0.197,0.64,0.0896,2,15,17,78
2011-02-01,1,0,True,2,2,0.16,0.1818,0.64,0.1045,2,6,8,79
2011-02-01,1,1,True,2,2,0.16,0.1818,0.69,0.1045,0,3,3,80
2011-02-01,1,2,True,2,2,0.16,0.2273,0.69,0,0,2,2,81
2011-02-01,1,3,True,2,2,0.16,0.2273,0.69,0,0,2,2,82
2011-02-01,1,5,True,2,3,0.14,0.2121,0.93,0,0,3,3,83
2011-02-01,1,6,True,2,3,0.14,0.2121,0.93,0,0,22,22,84
2011-02-01,1,7,True,2,3,0.16,0.2273,0.93,0,0,52,52,85
2011-02-01,1,8,True,2,3,0.16,0.2273,0.93,0,3,132,135,86
2011-02-01,1,9,True,2,2,0.16,0.2273,0.93,0,2,114,116,87
2011-02-01,1,10,True,2,2,0.16,0.2273,0.93,0,0,47,47,88
2011-02-01,1,11,True,2,2,0.18,0.2424,0.86,0,2,49,51,89
2011-02-01,1,12,True,2,2,0.2,0.2576,0.86,0,2,53,55,90
2011-02-01,1,13,True,2,2,0.2,0.2576,0.86,0,3,49,52,91
2011-02-01,1,14,True,2,2,0.22,0.2576,0.8,0.0896,5,49,54,92
2011-02-01,1,15,True,2,2,0.24,0.2879,0.75,0,7,45,52,93
2011-02-01,1,16,True,2,2,0.24,0.2424,0.75,0.1343,3,61,64,94
2011-02-01,1,17,True,2,2,0.24,0.2879,0.75,0,4,172,176,95
2011-02-01,1,18,True,2,2,0.24,0.2576,0.81,0.1045,3,165,168,96
2011-02-01,1,19,True,2,2,0.24,0.2424,0.81,0.1343,3,105,108,97
2011-02-01,1,20,True,2,2,0.22,0.2273,0.87,0.1343,5,69,74,98
2011-02-01,1,21,True,2,2,0.22,0.2273,0.87,0.1343,0,64,64,99
2011-02-01,1,22,True,2,2,0.22,0.2576,0.87,0.0896,2,34,36,100
2011-02-01,1,23,True,2,3,0.2,0.197,0.93,0.194,1,15,16,101
2011-02-02,1,0,True,3,3,0.22,0.2424,0.93,0.1045,0,2,2,102
2011-02-02,1,1,True,3,3,0.22,0.2273,0.93,0.194,0,3,3,103
2011-02-02,1,2,True,3,3,0.22,0.2273,0.93,0.1343,4,0,4,104
2011-02-02,1,3,True,3,3,0.22,0.2273,0.93,0.1343,0,1,1,105
2011-02-02,1,4,True,3,3,0.22,0.2121,0.93,0.2836,0,1,1,106
2011-02-02,1,5,True,3,3,0.22,0.2424,0.93,0.1045,0,3,3,107
2011-02-02,1,6,True,3,3,0.22,0.2424,0.93,0.1045,1,17,18,108
2011-02-02,1,7,True,3,3,0.22,0.2121,0.93,0.2239,1,48,49,109
2011-02-02,1,8,True,3,3,0.22,0.2121,0.93,0.2239,1,154,155,110
2011-02-02,1,9,True,3,2,0.24,0.2576,0.93,0.0896,4,119,123,111
2011-02-02,1,10,True,3,2,0.22,0.2727,1,0,2,59,61,112
2011-02-02,1,11,True,3,2,0.24,0.2273,0.93,0.194,5,47,52,113
2011-02-02,1,12,True,3,2,0.24,0.2273,0.93,0.2239,3,61,64,114
2011-02-02,1,13,True,3,1,0.34,0.3333,0.93,0.1642,1,74,75,115
2011-02-02,1,14,True,3,1,0.38,0.3939,0.82,0.3881,2,61,63,116
2011-02-02,1,15,True,3,1,0.38,0.3939,0.76,0.3284,10,66,76,117
2011-02-02,1,16,True,3,1,0.36,0.3333,0.71,0.2985,8,95,103,118
2011-02-02,1,17,True,3,1,0.36,0.3182,0.53,0.5224,7,183,190,119
2011-02-02,1,18,True,3,1,0.34,0.2879,0.42,0.5522,7,175,182,120
2011-02-02,1,19,True,3,1,0.28,0.2424,0.45,0.4925,3,88,91,121
2011-02-02,1,20,True,3,1,0.24,0.197,0.48,0.5522,4,71,75,122
2011-02-02,1,21,True,3,1,0.22,0.197,0.47,0.3284,1,62,63,123
2011-02-02,1,22,True,3,1,0.22,0.2121,0.44,0.2537,5,35,40,124
2011-02-02,1,23,True,3,1,0.2,0.1667,0.44,0.4478,3,29,32,125
2011-02-03,1,0,True,4,1,0.2,0.1667,0.4,0.4478,1,11,12,126
2011-02-03,1,1,True,4,1,0.2,0.1515,0.44,0.5224,0,5,5,127
2011-02-03,1,2,True,4,1,0.18,0.1667,0.43,0.2537,0,2,2,128
2011-02-03,1,3,True,4,1,0.18,0.1667,0.43,0.2537,0,1,1,129
2011-02-03,1,5,True,4,1,0.16,0.1364,0.5,0.2985,0,2,2,130
2011-02-03,1,6,True,4,1,0.16,0.1364,0.43,0.3582,0,39,39,131
2011-02-03,1,7,True,4,1,0.14,0.1212,0.5,0.3284,1,86,87,132
2011-02-03,1,8,True,4,1,0.14,0.1212,0.5,0.3582,4,184,188,133
2011-02-03,1,9,True,4,1,0.16,0.1364,0.47,0.2985,6,127,133,134
2011-02-03,1,10,True,4,1,0.18,0.1515,0.43,0.3284,2,50,52,135
2011-02-03,1,11,True,4,1,0.18,0.1364,0.43,0.4478,9,55,64,136
2011-02-03,1,12,True,4,1,0.2,0.1818,0.4,0.3582,2,67,69,137
2011-02-03,1,13,True,4,1,0.2,0.1667,0.4,0.4179,4,47,51,138
2011-02-03,1,14,True,4,1,0.22,0.197,0.37,0.3881,4,43,47,139
2011-02-03,1,15,True,4,1,0.22,0.197,0.37,0.3284,4,56,60,140
2011-02-03,1,16,True,4,1,0.22,0.2121,0.37,0.2537,5,73,78,141
2011-02-03,1,17,True,4,1,0.2,0.197,0.4,0.194,5,170,175,142
2011-02-03,1,18,True,4,1,0.2,0.2121,0.4,0.1642,2,145,147,143
2011-02-03,1,19,True,4,1,0.2,0.2576,0.4,0,4,92,96,144
2011-02-03,1,20,True,4,1,0.2,0.2273,0.47,0.0896,1,108,109,145
2011-02-03,1,21,True,4,1,0.18,0.2121,0.55,0.1045,1,53,54,146
2011-02-03,1,22,True,4,1,0.18,0.2121,0.51,0.0896,2,39,41,147
2011-02-03,1,23,True,4,1,0.2,0.2273,0.47,0.1045,4,34,38,148
2011-02-04,1,0,True,5,2,0.2,0.2576,0.44,0,3,10,13,149
2011-02-04,1,1,True,5,2,0.16,0.2273,0.59,0,0,7,7,150
2011-02-04,1,2,True,5,2,0.14,0.1667,0.63,0.1045,0,1,1,151
2011-02-04,1,3,True,5,2,0.14,0.1667,0.63,0.1045,0,1,1,152
2011-02-04,1,5,True,5,2,0.14,0.1515,0.63,0.1343,0,7,7,153
2011-02-04,1,6,True,5,2,0.16,0.2273,0.55,0,2,26,28,154
2011-02-04,1,7,True,5,1,0.14,0.2121,0.59,0,0,87,87,155
2011-02-04,1,8,True,5,1,0.14,0.1515,0.74,0.1343,3,217,220,156
2011-02-04,1,9,True,5,2,0.16,0.1818,0.8,0.1343,3,124,127,157
2011-02-04,1,10,True,5,2,0.2,0.2121,0.51,0.1343,5,46,51,158
2011-02-04,1,11,True,5,1,0.22,0.2273,0.51,0.1642,3,61,64,159
2011-02-04,1,12,True,5,2,0.24,0.2424,0.48,0.1642,8,78,86,160
2011-02-04,1,13,True,5,2,0.26,0.2576,0.5,0.2239,9,73,82,161
2011-02-04,1,14,True,5,2,0.28,0.2727,0.45,0.1642,15,76,91,162
2011-02-04,1,15,True,5,2,0.28,0.2727,0.48,0.2537,9,81,90,163
2011-02-04,1,16,True,5,2,0.3,0.2879,0.42,0.2239,8,91,99,164
2011-02-04,1,17,True,5,2,0.26,0.2727,0.56,0.1343,10,195,205,165
2011-02-04,1,18,True,5,2,0.24,0.2576,0.6,0.1045,3,152,155,166
2011-02-04,1,19,True,5,2,0.24,0.2424,0.65,0.1343,1,102,103,167
2011-02-04,1,20,True,5,2,0.24,0.2424,0.65,0.1642,2,69,71,168
2011-02-04,1,21,True,5,2,0.24,0.2424,0.7,0.1642,2,41,43,169
2011-02-04,1,22,True,5,2,0.24,0.2424,0.65,0.1642,1,45,46,170
2011-02-04,1,23,True,5,2,0.24,0.2424,0.7,0.1343,1,30,31,171
2011-02-05,1,0,True,6,2,0.24,0.2424,0.7,0.1642,3,36,39,172
2011-02-05,1,1,True,6,2,0.24,0.2424,0.65,0.1642,1,17,18,173
2011-02-05,1,2,True,6,2,0.24,0.2424,0.75,0.1642,5,12,17,174
2011-02-05,1,3,True,6,2,0.24,0.2424,0.75,0.1642,1,10,11,175
2011-02-05,1,4,True,6,3,0.22,0.2273,0.93,0.1343,0,8,8,176
2011-02-05,1,5,True,6,3,0.2,0.2273,1,0.0896,0,9,9,177
2011-02-05,1,6,True,6,3,0.2,0.2576,1,0,0,4,4,178
2011-02-05,1,7,True,6,3,0.22,0.2576,0.93,0.0896,0,4,4,179
2011-02-05,1,8,True,6,3,0.2,0.2273,1,0.0896,0,10,10,180
2011-02-05,1,9,True,6,3,0.2,0.2273,1,0.0896,3,17,20,181
2011-02-05,1,10,True,6,3,0.2,0.2121,1,0.1343,3,31,34,182
2011-02-05,1,11,True,6,3,0.22,0.2273,1,0.1343,1,46,47,183
2011-02-05,1,12,True,6,3,0.22,0.2273,1,0.1642,10,42,52,184
2011-02-05,1,13,True,6,3,0.22,0.2273,1,0.1642,10,62,72,185
2011-02-05,1,14,True,6,3,0.22,0.2727,1,0,5,50,55,186
2011-02-05,1,15,True,6,3,0.22,0.2727,1,0,11,49,60,187
2011-02-05,1,16,True,6,3,0.22,0.2273,1,0.1343,8,63,71,188
2011-02-05,1,17,True,6,2,0.24,0.2121,1,0.2836,14,64,78,189
2011-02-05,1,18,True,6,2,0.28,0.2424,0.93,0.4478,2,81,83,190
2011-02-05,1,19,True,6,2,0.28,0.2424,0.93,0.4478,6,78,84,191
2011-02-05,1,20,True,6,1,0.3,0.2879,0.87,0.2537,5,64,69,192
2011-02-05,1,21,True,6,1,0.26,0.2576,1,0.194,3,53,56,193
2011-02-05,1,22,True,6,1,0.26,0.2727,0.93,0.1343,2,43,45,194
2011-02-05,1,23,True,6,1,0.26,0.2576,0.93,0.2239,7,52,59,195
