dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,instant
2011-02-06,1,0,True,0,1,0.26,0.2576,0.7,0.194,2,37,39,196
2011-02-06,1,1,True,0,1,0.26,0.2273,0.65,0.4179,4,40,44,197
2011-02-06,1,2,True,0,1,0.26,0.2273,0.6,0.3284,0,20,20,198
2011-02-06,1,3,True,0,1,0.26,0.2879,0.6,0.0896,3,10,13,199
2011-02-06,1,4,True,0,1,0.26,0.2273,0.6,0.3582,0,2,2,200
2011-02-06,1,5,True,0,1,0.26,0.2576,0.6,0.2239,0,1,1,201
2011-02-06,1,6,True,0,1,0.26,0.2576,0.6,0.2239,0,1,1,202
2011-02-06,1,7,True,0,1,0.24,0.2424,0.65,0.1642,0,8,8,203
2011-02-06,1,8,True,0,1,0.24,0.2576,0.65,0.1045,2,21,23,204
2011-02-06,1,9,True,0,1,0.28,0.2879,0.56,0.1045,7,38,45,205
2011-02-06,1,10,True,0,1,0.3,0.2879,0.52,0.2537,15,74,89,206
2011-02-06,1,11,True,0,1,0.32,0.303,0.49,0.2537,28,89,117,207
2011-02-06,1,12,True,0,1,0.34,0.3333,0.46,0,48,126,174,208
2011-02-06,1,13,True,0,1,0.34,0.3636,0.46,0,47,135,182,209
2011-02-06,1,14,True,0,1,0.34,0.3485,0.46,0.0896,47,114,161,210
2011-02-06,1,15,True,0,1,0.34,0.3485,0.46,0.0896,52,130,182,211
2011-02-06,1,16,True,0,1,0.34,0.3485,0.49,0.1045,42,115,157,212
2011-02-06,1,17,True,0,1,0.34,0.3636,0.46,0,24,97,121,213
2011-02-06,1,18,True,0,1,0.3,0.303,0.56,0.1642,13,65,78,214
2011-02-06,1,19,True,0,1,0.28,0.2879,0.61,0.1343,1,20,21,215
2011-02-06,1,20,True,0,1,0.28,0.2879,0.61,0.1045,5,21,26,216
2011-02-06,1,21,True,0,1,0.26,0.303,0.6,0,5,22,27,217
2011-02-06,1,22,True,0,1,0.26,0.303,0.6,0,5,57,62,218
2011-02-06,1,23,True,0,1,0.24,0.2879,0.65,0,4,26,30,219
2011-02-07,1,0,True,1,1,0.24,0.2879,0.65,0,1,14,15,220
2011-02-07,1,1,True,1,1,0.22,0.2727,0.75,0,1,4,5,221
2011-02-07,1,2,True,1,1,0.2,0.2576,0.8,0,0,3,3,222
2011-02-07,1,3,True,1,1,0.2,0.2576,0.86,0,0,1,1,223
2011-02-07,1,4,True,1,1,0.2,0.2576,0.86,0,1,1,2,224
2011-02-07,1,5,True,1,1,0.2,0.2576,0.86,0,1,9,10,225
2011-02-07,1,6,True,1,1,0.18,0.2424,0.93,0,1,29,30,226
2011-02-07,1,7,True,1,1,0.18,0.2424,0.86,0,6,89,95,227
2011-02-07,1,8,True,1,2,0.16,0.2273,1,0,7,223,230,228
2011-02-07,1,9,True,1,1,0.22,0.2727,0.8,0,3,115,118,229
2011-02-07,1,10,True,1,1,0.24,0.2576,0.75,0.1045,6,49,55,230
2011-02-07,1,11,True,1,1,0.3,0.3182,0.65,0.0896,11,36,47,231
2011-02-07,1,12,True,1,2,0.32,0.3485,0.62,0,7,59,66,232
2011-02-07,1,13,True,1,2,0.36,0.3636,0.57,0.0896,10,54,64,233
2011-02-07,1,14,True,1,2,0.36,0.3636,0.57,0.0896,8,52,60,234
2011-02-07,1,15,True,1,2,0.38,0.3939,0.54,0.0896,4,46,50,235
2011-02-07,1,16,True,1,2,0.36,0.3485,0.57,0.1343,16,98,114,236
2011-02-07,1,17,True,1,2,0.32,0.3182,0.7,0.1642,9,207,216,237
2011-02-07,1,18,True,1,2,0.34,0.3333,0.66,0.1343,5,170,175,238
2011-02-07,1,19,True,1,2,0.32,0.3485,0.7,0,5,123,128,239
2011-02-07,1,20,True,1,2,0.32,0.3333,0.7,0.1045,6,82,88,240
2011-02-07,1,21,True,1,1,0.32,0.3485,0.7,0,3,75,78,241
2011-02-07,1,22,True,1,1,0.28,0.303,0.81,0.0896,3,34,37,242
2011-02-07,1,23,True,1,2,0.3,0.3333,0.81,0,6,19,25,243
2011-02-08,1,0,True,2,2,0.28,0.3182,0.87,0,4,6,10,244
2011-02-08,1,1,True,2,2,0.28,0.3182,0.87,0,0,4,4,245
2011-02-08,1,2,True,2,2,0.26,0.2727,0.93,0.1045,1,1,2,246
2011-02-08,1,3,True,2,3,0.28,0.2727,0.93,0.1642,0,1,1,247
2011-02-08,1,4,True,2,1,0.26,0.2576,0.93,0.1642,0,3,3,248
2011-02-08,1,5,True,2,1,0.26,0.2273,0.81,0.3284,0,2,2,249
2011-02-08,1,6,True,2,1,0.26,0.2273,0.7,0.3284,0,39,39,250
2011-02-08,1,7,True,2,1,0.24,0.197,0.65,0.4179,3,97,100,251
2011-02-08,1,8,True,2,1,0.24,0.197,0.56,0.4925,7,236,243,252
2011-02-08,1,9,True,2,1,0.24,0.197,0.52,0.4925,7,128,135,253
2011-02-08,1,10,True,2,1,0.22,0.1818,0.47,0.5522,4,44,48,254
2011-02-08,1,11,True,2,1,0.22,0.1818,0.47,0.4627,1,49,50,255
2011-02-08,1,12,True,2,1,0.24,0.197,0.38,0.4925,2,63,65,256
2011-02-08,1,13,True,2,2,0.24,0.197,0.32,0.4478,2,48,50,257
2011-02-08,1,14,True,2,1,0.22,0.197,0.37,0.4179,3,61,64,258
2011-02-08,1,15,True,2,1,0.22,0.197,0.35,0.3881,6,45,51,259
2011-02-08,1,16,True,2,1,0.22,0.1818,0.35,0.5224,4,79,83,260
2011-02-08,1,17,True,2,1,0.22,0.1818,0.32,0.5821,4,172,176,261
2011-02-08,1,18,True,2,1,0.2,0.1818,0.32,0.3881,1,151,152,262
2011-02-08,1,19,True,2,1,0.16,0.1212,0.4,0.4627,1,100,101,263
2011-02-08,1,20,True,2,1,0.16,0.1364,0.4,0.3284,3,53,56,264
2011-02-08,1,21,True,2,1,0.14,0.1061,0.33,0.4627,8,46,54,265
2011-02-08,1,22,True,2,1,0.12,0.1061,0.33,0.3582,0,29,29,266
2011-02-08,1,23,True,2,1,0.12,0.1061,0.33,0.3284,3,9,12,267
2011-02-09,1,0,True,3,1,0.1,0.0758,0.36,0.3582,0,17,17,268
2011-02-09,1,1,True,3,1,0.1,0.1061,0.36,0.2239,0,7,7,269
2011-02-09,1,2,True,3,1,0.08,0.0758,0.38,0.2836,1,2,3,270
2011-02-09,1,3,True,3,1,0.06,0.0758,0.45,0.1343,0,2,2,271
2011-02-09,1,5,True,3,1,0.06,0.1061,0.45,0.1045,0,7,7,272
2011-02-09,1,6,True,3,1,0.06,0.1515,0.45,0,0,43,43,273
2011-02-09,1,7,True,3,1,0.06,0.1061,0.49,0.1045,4,95,99,274
2011-02-09,1,8,True,3,1,0.1,0.1364,0.42,0,1,198,199,275
2011-02-09,1,9,True,3,1,0.12,0.1364,0.39,0.1642,4,119,123,276
2011-02-09,1,10,True,3,1,0.14,0.1818,0.36,0,8,51,59,277
2011-02-09,1,11,True,3,2,0.14,0.1515,0.43,0.1642,1,40,41,278
2011-02-09,1,12,True,3,2,0.18,0.1818,0.4,0.2239,4,57,61,279
2011-02-09,1,13,True,3,1,0.18,0.1667,0.4,0.2537,2,67,69,280
2011-02-09,1,14,True,3,1,0.2,0.1818,0.34,0.2985,2,56,58,281
2011-02-09,1,15,True,3,2,0.2,0.1818,0.34,0.2836,3,61,64,282
2011-02-09,1,16,True,3,2,0.2,0.197,0.37,0.2537,7,72,79,283
2011-02-09,1,17,True,3,2,0.2,0.197,0.34,0.2537,9,157,166,284
2011-02-09,1,18,True,3,2,0.18,0.1667,0.47,0.2985,2,168,170,285
2011-02-09,1,19,True,3,3,0.14,0.1212,0.86,0.2537,1,87,88,286
2011-02-09,1,20,True,3,3,0.14,0.1515,0.86,0.1642,0,84,84,287
2011-02-09,1,21,True,3,2,0.14,0.1515,0.86,0.1642,0,83,83,288
2011-02-09,1,22,True,3,3,0.16,0.1667,0.8,0.1642,4,42,46,289
2011-02-09,1,23,True,3,3,0.16,0.1515,0.8,0.194,0,37,37,290
2011-02-10,1,0,True,4,3,0.14,0.1364,0.86,0.194,0,16,16,291
2011-02-10,1,1,True,4,3,0.14,0.1515,0.8,0.1343,0,7,7,292
2011-02-10,1,2,True,4,3,0.14,0.1515,0.8,0.1343,0,3,3,293
2011-02-10,1,4,True,4,2,0.14,0.1364,0.59,0.2239,0,1,1,294
2011-02-10,1,5,True,4,2,0.12,0.1212,0.5,0.2239,0,6,6,295
2011-02-10,1,6,True,4,2,0.12,0.1212,0.54,0.2836,0,26,26,296
2011-02-10,1,7,True,4,1,0.1,0.0758,0.5,0.4179,0,99,99,297
2011-02-10,1,8,True,4,1,0.1,0.0758,0.49,0.3284,5,173,178,298
2011-02-10,1,9,True,4,1,0.12,0.1061,0.42,0.3582,1,121,122,299
2011-02-10,1,10,True,4,1,0.12,0.1061,0.42,0.2985,1,34,35,300
2011-02-10,1,11,True,4,1,0.14,0.1212,0.39,0.3582,1,44,45,301
2011-02-10,1,12,True,4,1,0.16,0.1364,0.34,0.3881,4,65,69,302
2011-02-10,1,13,True,4,1,0.18,0.1667,0.29,0.2985,3,59,62,303
2011-02-10,1,14,True,4,1,0.2,0.1818,0.27,0.2836,6,42,48,304
2011-02-10,1,15,True,4,1,0.2,0.197,0.25,0.2537,0,50,50,305
2011-02-10,1,16,True,4,1,0.2,0.1818,0.27,0.2985,4,76,80,306
2011-02-10,1,17,True,4,1,0.18,0.1818,0.26,0.194,6,159,165,307
2011-02-10,1,18,True,4,1,0.16,0.1818,0.28,0.1343,3,157,160,308
2011-02-10,1,19,True,4,1,0.14,0.1667,0.28,0.1045,2,110,112,309
2011-02-10,1,20,True,4,1,0.14,0.1818,0.31,0.0896,4,93,97,310
2011-02-10,1,21,True,4,1,0.14,0.2121,0.39,0,2,70,72,311
2011-02-10,1,22,True,4,1,0.12,0.197,0.39,0,4,47,51,312
2011-02-10,1,23,True,4,1,0.12,0.1515,0.42,0.1045,1,33,34,313
2011-02-11,1,0,True,5,1,0.1,0.1364,0.49,0.1045,2,12,14,314
2011-02-11,1,1,True,5,1,0.1,0.1364,0.54,0.0896,1,6,7,315
2011-02-11,1,2,True,5,1,0.1,0.1364,0.54,0.0896,0,3,3,316
2011-02-11,1,5,True,5,1,0.08,0.1212,0.63,0.0896,0,4,4,317
2011-02-11,1,6,True,5,1,0.1,0.1818,0.68,0,1,23,24,318
2011-02-11,1,7,True,5,1,0.08,0.1667,0.73,0,1,73,74,319
2011-02-11,1,8,True,5,1,0.1,0.1212,0.74,0.1642,4,212,216,320
2011-02-11,1,9,True,5,1,0.12,0.1212,0.74,0.2239,8,132,140,321
2011-02-11,1,10,True,5,1,0.14,0.1364,0.69,0.194,5,39,44,322
2011-02-11,1,11,True,5,1,0.22,0.2273,0.47,0.1343,12,52,64,323
2011-02-11,1,12,True,5,1,0.22,0.2273,0.47,0.1343,7,64,71,324
2011-02-11,1,13,True,5,1,0.24,0.2273,0.35,0.194,21,89,110,325
2011-02-11,1,14,True,5,1,0.3,0.2879,0.26,0.2537,17,67,84,326
2011-02-11,1,15,True,5,1,0.32,0.3182,0.21,0.1642,12,62,74,327
2011-02-11,1,16,True,5,1,0.3,0.2879,0.28,0.194,14,111,125,328
2011-02-11,1,17,True,5,1,0.3,0.3333,0.24,0,18,193,211,329
2011-02-11,1,18,True,5,1,0.28,0.3182,0.28,0,9,165,174,330
2011-02-11,1,19,True,5,1,0.26,0.303,0.33,0,7,94,101,331
2011-02-11,1,20,True,5,1,0.22,0.2273,0.55,0.1343,2,61,63,332
2011-02-11,1,21,True,5,1,0.2,0.2121,0.59,0.1343,1,46,47,333
2011-02-11,1,22,True,5,1,0.2,0.2273,0.64,0.0896,2,41,43,334
2011-02-11,1,23,True,5,1,0.18,0.2424,0.69,0,5,48,53,335
2011-02-12,1,0,True,6,1,0.16,0.197,0.69,0.0896,3,27,30,336
2011-02-12,1,1,True,6,1,0.14,0.2121,0.86,0,2,22,24,337
2011-02-12,1,2,True,6,1,0.14,0.2121,0.8,0,2,13,15,338
2011-02-12,1,3,True,6,1,0.12,0.197,0.8,0,3,7,10,339
2011-02-12,1,4,True,6,1,0.12,0.1667,0.74,0.0896,0,4,4,340
2011-02-12,1,5,True,6,1,0.12,0.1667,0.74,0.0896,0,1,1,341
2011-02-12,1,6,True,6,1,0.12,0.1364,0.93,0.194,1,1,2,342
2011-02-12,1,7,True,6,1,0.12,0.1515,0.8,0.1045,2,9,11,343
2011-02-12,1,8,True,6,1,0.14,0.1515,0.86,0.1343,2,28,30,344
2011-02-12,1,9,True,6,1,0.16,0.1818,0.64,0.1343,5,38,43,345
2011-02-12,1,10,True,6,1,0.22,0.2121,0.41,0.2537,13,71,84,346
2011-02-12,1,11,True,6,1,0.3,0.2727,0.28,0.3284,30,84,114,347
2011-02-12,1,12,True,6,1,0.3,0.2727,0.39,0.4627,27,93,120,348
2011-02-12,1,13,True,6,1,0.3,0.2727,0.39,0.4179,32,103,135,349
2011-02-12,1,14,True,6,1,0.34,0.3182,0.31,0.2836,30,90,120,350
2011-02-12,1,15,True,6,1,0.34,0.303,0.29,0.4179,47,127,174,351
2011-02-12,1,16,True,6,1,0.34,0.303,0.29,0.4179,42,103,145,352
2011-02-12,1,17,True,6,1,0.32,0.2879,0.31,0.5224,24,113,137,353
2011-02-12,1,18,True,6,1,0.28,0.2576,0.38,0.3284,4,60,64,354
2011-02-12,1,19,True,6,1,0.28,0.2727,0.38,0.1642,2,39,41,355
2011-02-12,1,20,True,6,1,0.26,0.2576,0.41,0.2239,1,39,40,356
2011-02-12,1,21,True,6,1,0.26,0.303,0.41,0,9,42,51,357
2011-02-12,1,22,True,6,1,0.24,0.2576,0.44,0.0896,6,39,45,358
2011-02-12,1,23,True,6,1,0.22,0.2273,0.51,0.1343,1,31,32,359
2011-02-13,1,0,True,0,1,0.2,0.2273,0.64,0.1045,5,34,39,360
2011-02-13,1,1,True,0,1,0.2,0.2273,0.59,0.0896,1,23,24,361
2011-02-13,1,2,True,0,2,0.2,0.2273,0.75,0.0896,1,19,20,362
2011-02-13,1,3,True,0,2,0.2,0.2273,0.69,0.1045,4,8,12,363
2011-02-13,1,4,True,0,2,0.2,0.2121,0.69,0.1642,0,2,2,364
2011-02-13,1,6,True,0,2,0.2,0.2121,0.69,0.1343,2,3,5,365
2011-02-13,1,7,True,0,2,0.22,0.2727,0.55,0,0,3,3,366
2011-02-13,1,8,True,0,2,0.22,0.2273,0.64,0.194,1,11,12,367
2011-02-13,1,9,True,0,2,0.24,0.2273,0.6,0.2239,12,35,47,368
2011-02-13,1,10,True,0,1,0.3,0.2727,0.45,0.3284,19,86,105,369
2011-02-13,1,11,True,0,1,0.32,0.2879,0.39,0.4478,26,86,112,370
2011-02-13,1,12,True,0,1,0.36,0.3182,0.32,0.4627,58,94,152,371
2011-02-13,1,13,True,0,1,0.38,0.3939,0.29,0.3582,62,92,154,372
2011-02-13,1,14,True,0,2,0.4,0.4091,0.3,0.4179,51,110,161,373
2011-02-13,1,15,True,0,2,0.4,0.4091,0.3,0.2985,40,122,162,374
2011-02-13,1,16,True,0,2,0.42,0.4242,0.28,0.3284,28,106,134,375
2011-02-13,1,17,True,0,1,0.42,0.4242,0.28,0.3284,30,95,125,376
2011-02-13,1,18,True,0,1,0.4,0.4091,0.32,0.2985,17,78,95,377
2011-02-13,1,19,True,0,1,0.4,0.4091,0.35,0.2836,11,50,61,378
2011-02-13,1,20,True,0,1,0.4,0.4091,0.35,0.3284,15,32,47,379
2011-02-13,1,21,True,0,1,0.4,0.4091,0.35,0.3582,6,45,51,380
2011-02-13,1,22,True,0,1,0.4,0.4091,0.35,0.2985,5,31,36,381
2011-02-13,1,23,True,0,1,0.4,0.4091,0.35,0.3582,3,27,30,382
2011-02-14,1,0,True,1,1,0.38,0.3939,0.37,0.3582,3,8,11,383
2011-02-14,1,1,True,1,1,0.38,0.3939,0.37,0.3582,1,6,7,384
2011-02-14,1,2,True,1,1,0.36,0.3333,0.4,0.2985,0,2,2,385
2011-02-14,1,3,True,1,1,0.34,0.3182,0.46,0.2239,1,1,2,386
2011-02-14,1,4,True,1,1,0.32,0.303,0.53,0.2836,0,2,2,387
2011-02-14,1,5,True,1,1,0.32,0.303,0.53,0.2836,0,3,3,388
2011-02-14,1,6,True,1,1,0.34,0.303,0.46,0.2985,1,25,26,389
2011-02-14,1,7,True,1,1,0.34,0.303,0.46,0.2985,2,96,98,390
